participant_n,IAT_condition,SCIAT_D1
1,Insects-Chinese IAT,0.452
2,Insects-Chinese IAT,0.142
3,Flowers-Chinese IAT,-0.056
4,Flowers-Chinese IAT,-0.665
5,Flowers-Chinese IAT,0.056
6,Flowers-Chinese IAT,0.209
7,Insects-Chinese IAT,0.159
8,Flowers-Chinese IAT,0.1
9,Insects-Chinese IAT,-0.094
10,Flowers-Chinese IAT,0.031
11,Flowers-Chinese IAT,0.359
12,Insects-Chinese IAT,0.239
13,Flowers-Chinese IAT,-0.024
14,Flowers-Chinese IAT,0.23
15,Insects-Chinese IAT,0.17
16,Flowers-Chinese IAT,-0.128
17,Insects-Chinese IAT,0.485
18,Flowers-Chinese IAT,-0.044
19,Flowers-Chinese IAT,-0.164
20,Insects-Chinese IAT,0.286
21,Flowers-Chinese IAT,-0.406
22,Insects-Chinese IAT,-0.073
23,Flowers-Chinese IAT,-0.269
24,Flowers-Chinese IAT,-0.129
25,Insects-Chinese IAT,-0.004
26,Flowers-Chinese IAT,0.008
27,Insects-Chinese IAT,0.436
28,Insects-Chinese IAT,0.139
29,Flowers-Chinese IAT,-0.252
30,Flowers-Chinese IAT,-0.178
31,Flowers-Chinese IAT,-0.363
32,Flowers-Chinese IAT,-0.33
33,Insects-Chinese IAT,-0.241
34,Flowers-Chinese IAT,0.314
35,Insects-Chinese IAT,0.371
36,Insects-Chinese IAT,-0.488
37,Insects-Chinese IAT,-0.114
38,Flowers-Chinese IAT,-0.052
39,Flowers-Chinese IAT,0.198
40,Insects-Chinese IAT,-0.464
41,Insects-Chinese IAT,-0.037
42,Flowers-Chinese IAT,-0.17
43,Insects-Chinese IAT,0.102
44,Insects-Chinese IAT,0.365
45,Insects-Chinese IAT,-0.356
46,Flowers-Chinese IAT,0.121
47,Flowers-Chinese IAT,0.403
48,Insects-Chinese IAT,0.509
49,Insects-Chinese IAT,0.268
50,Insects-Chinese IAT,-0.362
51,Insects-Chinese IAT,-0.308
52,Insects-Chinese IAT,0.142
53,Flowers-Chinese IAT,0.163
54,Flowers-Chinese IAT,-0.209
55,Flowers-Chinese IAT,-0.318
56,Flowers-Chinese IAT,-0.079
57,Flowers-Chinese IAT,0.334
58,Flowers-Chinese IAT,-0.219
59,Flowers-Chinese IAT,-0.069
